username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AriMelber;2016/02/09 17:52;156;230;"Whatever one thinks of Donald Trump's policies, a primary victory here, by any margin, would be a huge tsunami. Undeniable.";;;;"697191476674097153";https://twitter.com/AriMelber/status/697191476674097153
JPAndreas1;2016/02/09 18:59;0;1;"TRUTH! RT @SocialPros: Ted Cruz: Donald Trump ‘does not handle losing very well’ http://www.washingtontimes.com/news/2016/feb/9/ted-cruz-donald-does-not-handle-losing-very-well/ …pic.twitter.com/a8SqqTw14k";;@SocialPros;;"697208341295190017";https://twitter.com/JPAndreas1/status/697208341295190017
WhitevsBIackTwt;2015/12/09 21:04;101;219;"John Cena's face while Donald Trump was talking on the Today Show this morning pic.twitter.com/PbSc1PGeLy";;;;"674771599036387328";https://twitter.com/WhitevsBIackTwt/status/674771599036387328
jerrysremodeli1;2016/02/09 18:52;20;11;"America there coming for your jobs your money and possibly your life help stop this Vote for Donald Trump pic.twitter.com/nNUokat9xd";Kansas, USA;;;"697206363185766400";https://twitter.com/jerrysremodeli1/status/697206363185766400
hurtsellers;2016/02/09 18:59;2;0;"Why The Catalina's Wouldn't Mind Donald Trump As President http://fb.me/2qWNnmAiF ";;;;"697208311700070400";https://twitter.com/hurtsellers/status/697208311700070400
lifeismerry_;2016/02/09 18:59;4;4;"it's 2016 and domestic violence, racism, homophobia, sex trafficking, donald trump, terrorism, etc. is still a reality when it shouldn't be.";;;;"697208271422107648";https://twitter.com/lifeismerry_/status/697208271422107648
Margaret_mayhem;2016/02/09 18:59;1;4;"Ugh hearing on the news about how Donald Trump is failing miserably makes me so so happy";;;;"697208269442568193";https://twitter.com/Margaret_mayhem/status/697208269442568193
WVNYWFFF;2016/02/09 18:59;0;0;"Donald Trump's Last Push for Votes http://bit.ly/1Wcoz86 ";;;;"697208203436802049";https://twitter.com/WVNYWFFF/status/697208203436802049
trisarahhobs;2016/02/09 18:59;2;3;"fuck donald trump";;;;"697208192443539456";https://twitter.com/trisarahhobs/status/697208192443539456
EmmaStorey10;2016/02/09 18:59;0;0;"or you could go with the classic Donald trump look yaknow @JoshuaDtownpic.twitter.com/OA0zVAAAC1";;@JoshuaDtownpic;;"697208176949665792";https://twitter.com/EmmaStorey10/status/697208176949665792
ldmartinez;2016/02/09 18:59;0;2;"@mattyglesias Kanye and Donald Trump.";;@mattyglesias;;"697208167072210944";https://twitter.com/ldmartinez/status/697208167072210944
oliviaactually;2016/02/09 18:59;0;0;"I will never understand how some people can actually take Donald Trump seriously";;;;"697208154736717825";https://twitter.com/oliviaactually/status/697208154736717825
brookpos;2016/02/09 18:59;0;0;""Your Tuesday Evening Briefing: Donald Trump, James Clapper, Hillary Clinton" by ANDREA KANNAPELL and SANDRA STEVE… http://ift.tt/1Q66nbL ";;;;"697208152622833666";https://twitter.com/brookpos/status/697208152622833666
IsoraRuth;2016/02/09 18:59;0;1;"Which Revolutionary Will America Choose — Bernie Sanders, Donald Trump or Ted Cruz http://www.glennbeck.com/2016/02/09/which-revolutionary-will-america-choose-bernie-sanders-donald-trump-or-ted-cruz/?utm_source=twitter&utm_medium=story&utm_campaign=ShareButtons … via @glennbeck";;@glennbeck;;"697208149418311680";https://twitter.com/IsoraRuth/status/697208149418311680
